Amazon_MediaCost_alpha=0.1L=2theta=0_power=0.6,BingSearch_MediaCost_alpha=0.1L=2theta=0_power=0.1,DV360_MediaCost_alpha=0.1L=2theta=0_power=0.6,Facebook_MediaCost_alpha=0.9L=20theta=0_power=0.6,GoogleSearch_MediaCost_alpha=0.6L=10theta=0_power=0.1,Pinterest_MediaCost_alpha=0.1L=2theta=0_power=0.6,Radio_MediaCost_alpha=0.1L=2theta=0_power=0.6,Snapchat_MediaCost_alpha=0.1L=2theta=0_power=0.6,YouTube_MediaCost_alpha=0.9L=6theta=0_power=0.1,Amazon_Impressions,BingSearch_Impressions,DV360_Impressions,Facebook_Impressions,GoogleSearch_Impressions,Pinterest_Impressions,Radio_Impressions,Snapchat_Impressions,YouTube_Impressions,holiday,Revenue
0,1.920251244,0,427.7742785,2.577201813,0,0,0,1.988690661,0,15886,0,1809701,649419,0,0,0,211336,0,72654.15
0,1.948770111,0,436.8684258,2.579300803,0,0,0,1.996717145,0,14890,0,1840023,640182,0,0,0,189616,0,71689.3
0,1.937638572,0,451.6681022,2.59121077,0,0,0,1.996941803,0,15267,0,2212734,635576,0,0,0,166885,0,98203.77
0,1.9302597,0,451.8170219,2.598079216,0,0,0,1.997785246,0,13666,0,1603360,642237,0,0,0,165712,0,93277.35
0,1.908623835,0,427.2378676,2.58590466,0,0,0,1.995199047,0,12839,0,1029695,587688,0,0,0,143247,0,78780.85
0,1.908130188,0,409.5645669,2.572958501,0,0,0,1.993868886,0,12384,0,1205068,579124,0,0,0,149644,0,71255.9
0,1.940750385,0,394.0924507,2.587518077,0,0,0,1.99283909,0,13261,0,1264560,562481,0,0,0,168804,0,79705.8
0,1.979905718,0,369.676989,2.603508027,0,0,0,1.99218953,0,17288,0,975737,599563,0,0,0,201584,0,74663.8
0,1.969819409,0,354.9298053,2.601225542,0,0,0,1.992273777,0,16171,0,1034939,597927,0,0,0,227086,0,65980.55
0,1.955954292,0,365.9062861,2.58771435,0,0,0,1.990239519,0,17696,0,1416033,592544,0,0,0,91811,0,71049.25
0,1.95642675,0,378.2228296,2.577010597,0,0,0,1.988822219,0,15545,0,1423290,582957,0,0,0,147294,0,71211.3
0,1.931232323,0,384.6659269,2.565129205,0,0,0,1.988614069,0,14649,0,1365803,765655,0,0,0,102952,0,63781.75
0,1.896401358,0,388.7583951,2.548674637,0,0,0,1.95489593,0,11014,0,1557658,559271,0,0,0,34772,0,60184.1
0,1.876816027,0,388.9806446,2.555190687,0,0,0,1.919851137,0,11982,0,1567260,609363,0,0,0,49756,0,68602.6
0,1.90516151,0,397.2275891,2.556224791,0,0,0,1.890719782,0,14213,0,1262742,581630,0,0,0,51303,0,59790.45
0,1.914131884,0,382.6532583,2.55654129,0,0,0,1.870233179,0,14081,0,1117592,587268,0,0,0,43084,0,58278.75
0,1.867442071,0,428.1188113,2.563538887,0,0,0,1.859217831,0,14754,0,1753083,570687,0,0,0,36543,0,56012.1
0,1.89857693,0,422.4348179,2.559521824,0,0,0,1.857570529,0,15797,0,1245638,587411,0,0,0,47578,0,60813.85
0,1.876093626,0,408.3875994,2.546506905,0,0,0,1.860124264,0,12508,0,1475193,605806,0,0,0,54008,0,58087.4
0,1.825630149,0,388.2022166,2.535325154,0,0,0,1.861984278,0,13664,0,1401627,568761,0,0,0,56901,0,50382.75
0,1.828808871,0,370.6854701,2.538362346,0,0,0,1.863131578,0,13975,0,1540153,624202,0,0,0,55632,0,54450.55
0,1.892029023,0,357.8901768,2.56538263,0,0,0,1.864459303,0,16391,0,1411306,676449,0,0,0,56020,0,58600.55
0,1.896088475,0,352.7253753,2.570775561,0,0,0,1.864652097,0,14830,0,1454573,681211,0,0,0,58227,0,58515.45
0,1.905843883,0,335.8692869,2.564836208,0,0,0,1.86443763,0,15506,0,875424,662237,0,0,0,53849,0,65131.55
0,1.925548703,0,315.168025,2.55738644,0,0,0,1.989263765,0,15550,0,745326,623562,0,0,0,265836,0,59689.45
0,1.879946985,0,302.1145681,2.557152489,0,0,0,2.060936193,0,13739,0,905925,842811,0,0,0,293001,0,52211.4
0,1.898224082,0,291.8730204,2.56946588,0,0,0,2.101675507,0,11972,0,827214,868868,0,0,0,263150,0,49570.3
0,1.884284723,0,298.1208011,2.59318485,0,0,0,2.123122078,0,12932,0,1134701,983170,0,0,0,341973,0,63403.05
0,1.908038807,0,293.2592298,2.587095377,0,0,0,2.132710367,0,17946,0,822167,734847,0,0,0,375084,0,55603.45
0,1.931360977,0,286.1897703,2.578136558,0,0,0,2.135740944,0,16537,0,648687,756054,0,0,0,343500,0,54653.85
0,1.951443385,0,287.2200225,2.588255903,0,0,0,2.134817874,0,16256,0,847297,821125,0,0,0,359803,0,60878.6
0,1.95130977,0,292.6355924,2.58015674,0,0,0,2.114567665,0,17243,0,792839,718932,0,0,0,162911,0,60335.4
0,1.926205205,0,288.5691128,2.559700407,0,0,0,2.082312802,0,16409,0,727329,676861,0,0,0,97863,0,55421.9
0,1.905938955,0,298.8649274,2.554003954,0,0,0,2.053339875,0,13601,0,1011210,676859,0,0,0,99963,0,50377.35
0,1.960090318,0,304.0733992,2.577920167,0,0,0,2.033122242,0,14128,0,928697,783918,0,0,0,102003,0,62989
0,1.985181964,208.8694262,311.2584617,2.585620291,0,0,0,2.021909961,0,17723,1930441,933860,735816,0,0,0,93967,0,58672.8
0,1.988281752,334.4288663,293.0039039,2.570852249,0,0,0,1.988529824,0,18636,2974072,199780,708842,0,0,0,50525,0,51372.6
0,1.987476636,344.7061596,230.349512,2.568075565,0,0,0,1.904984983,0,13040,2343997,0,721719,0,0,0,0,0,51453.85
0,2.05150686,336.6278308,174.0681256,2.56661061,0,0,0,1.798434511,0,25727,1986383,44700,668922,0,0,0,0,0,49203.4
0,1.971522366,325.8183704,154.1261891,2.544601651,0,0,0,1.763205233,0,19883,3776178,180656,639360,0,0,0,31937,0,51118.85
0,1.968953228,274.2042768,156.8208383,2.533108732,0,0,0,1.948461658,0,19008,3024508,203453,636240,0,0,0,86148,0,40601.85
0,1.989286227,274.3892978,165.3981768,2.552399812,0,0,0,2.00055172,0,17110,3637589,211017,716651,0,0,0,66577,0,52364.5
0,2.092100736,323.8504219,171.320714,2.566379109,0,0,0,2.024627395,0,26448,3464595,202126,682200,0,0,0,70641,0,46711.8
0,2.092093631,284.7318433,185.3169312,2.558229169,0,0,0,2.02911204,0,23675,2645106,338483,659904,0,0,0,70278,0,49057.87
0,2.089935741,363.4471808,188.7701596,2.556104503,0,0,0,2.021965576,0,25178,4472681,274814,685711,0,0,0,57814,0,49322.1
0,2.031002466,351.5090607,186.0391412,2.540381724,0,0,0,2.006178748,0,22581,4518584,310217,643401,0,0,0,58590,0,44750.35
0,1.949040182,284.4073611,180.437553,2.515166507,0,0,0,1.972233121,0,19528,3345679,246870,575469,0,0,0,42357,0,41197.8
0,1.866293815,234.4979894,178.5873891,2.503974696,0,0,0,1.978804288,0,13930,2568080,265770,564703,0,0,0,66662,0,39027.7
0,1.905926629,229.5940878,186.5171818,2.524324925,0,0,0,1.982790307,0,16286,2763750,332919,620584,0,0,0,58602,0,49077.15
0,1.930360117,242.4026121,195.5765591,2.540554905,0,0,0,1.988517788,0,19446,2858215,379686,651963,0,0,0,60547,0,44056.35
0,1.945008068,236.0282076,201.1585381,2.535760195,0,0,0,1.99148133,0,18482,2247118,386411,620242,0,0,0,54343,0,45946.95
0,1.949179904,238.0451407,216.9045968,2.529970241,0,0,0,1.992181945,0,18410,2373966,549961,645523,0,0,0,50113,0,45194.45
0,1.95784918,179.9761839,231.002416,2.517265969,0,0,0,1.992324193,0,18054,1221103,534716,563743,0,0,0,42973,0,36370.45
0,1.952867473,208.9221028,268.6816301,2.497042391,0,0,0,1.996871341,0,16773,1042828,1012445,583452,0,0,0,66992,0,38695.45
0,1.861065953,236.5609746,298.8390794,2.485110072,0,0,0,2.00140029,0,13431,1197620,1036047,535648,0,0,0,56470,0,36347.35
0,1.912290692,237.6225243,321.4332261,2.498039393,0,0,0,2.026120516,0,13892,1205961,1218530,571355,0,0,0,96538,0,39417.45
0,1.996669939,239.5472047,315.9545908,2.529202665,0,0,0,2.057962572,0,18366,1411411,803034,605343,0,0,0,122323,0,47868.5
0,1.966911133,233.2151298,309.5301306,2.561316095,0,0,0,2.102322835,0,19105,1456157,862794,555858,0,0,0,175087,0,47464.85
0,1.970153866,222.5538599,304.0345912,2.571189817,0,0,0,2.247232031,0,19949,1202696,671954,586907,0,0,0,473693,0,45096.35
0,1.963047837,202.3410358,300.0498226,2.575049048,0,0,0,2.28500289,0,20445,1020566,570832,536017,0,0,0,277559,0,41133.8
0,1.939244164,192.073492,297.163694,2.546400979,0,0,0,2.29101191,0,20521,897958,618962,467544,0,0,0,143655,0,36862.3
0,1.939151096,186.1554297,295.8507386,2.533253691,0,0,0,2.28580075,0,16955,858432,750218,444806,0,0,0,155648,0,39265.95
0,1.933897569,205.9929721,296.0260269,2.559434516,0,0,0,2.2821842,0,16417,1176218,859022,494421,0,0,0,513737,0,43441.1
0,2.14668516,214.5792463,304.0059039,2.577420336,0,0,0,2.280286142,0,32752,1058435,998394,539506,0,0,0,201304,0,44216.7
0,2.150729403,222.6555251,302.3773548,2.576156522,0,0,0,2.325977036,0,28988,949696,763931,515262,0,0,0,450248,0,42994
0,2.152371718,218.5667404,289.7673682,2.563870657,0,0,0,2.374909073,0,26523,859248,553054,547581,0,0,0,927361,0,39929
0,2.138445578,214.1959425,277.1230009,2.545959402,0,0,0,2.417440382,0,26536,808510,536878,505540,0,0,0,678127,0,37504.1
0,2.136912848,235.0443242,278.162152,2.514581407,0,0,0,2.443279226,0,25992,1098138,681824,415451,0,0,0,596981,0,36195.65
0,2.090024879,245.949014,285.8632007,2.485339263,0,0,0,2.490237782,0,20262,1622896,693635,378475,0,0,0,1168050,0,35422.95
0,2.069987565,230.9194965,294.8442863,2.499984079,0,0,0,2.510266235,0,18732,1943236,725146,402421,0,0,0,1647329,0,39085.85
0,2.078981533,128.9629711,279.7475892,2.508982738,0,0,0,2.524263136,0,21514,489819,424455,421119,0,0,0,1691467,0,41287.9
0,2.042714095,92.72586918,245.4632518,2.504554823,0,0,0,2.520709977,0,14787,617755,271815,401333,0,0,0,1001140,0,38314.55
0,1.989941769,151.6846739,213.6501574,2.497927516,0,0,0,2.513905698,0,11592,782048,263760,398174,0,0,0,740865,0,37444.05
0,1.978084372,121.9664702,189.9846409,2.490222603,0,0,0,2.510824888,0,13132,376628,239810,351735,0,0,0,591951,0,37552.75
0,1.962746271,147.0683567,175.8717049,2.475311128,0,0,0,2.511536586,0,14125,626973,230325,308129,0,0,0,827890,0,33811.45
0,1.897199098,131.1948788,168.7917817,2.459825728,0,0,0,2.50836943,0,10882,435826,227204,292823,0,0,0,1130842,0,33205.85
0,1.870090495,132.227381,166.1164161,2.449266014,0,0,0,2.503381999,0,12187,429623,257390,295763,0,0,0,667491,0,32878.2
0,1.915527006,116.4006491,165.6969572,2.458276613,0,0,0,2.495570207,0,13561,380368,260846,321164,0,0,0,593855,1,37998.35
0,1.96383038,104.4586416,187.7082125,2.489603318,0,0,0,2.488051281,0,16743,400597,450510,348580,107,0,0,627299,0,41319.1
0,1.948180163,85.08705871,206.4774652,2.493972067,0,0,96.62986622,2.482975422,0,16617,252459,403431,358404,91,0,534119,729695,0,41093.2
0,1.946694711,78.45579342,219.7686515,2.483540268,0,0,78.45799246,2.485623021,0,16892,260222,434750,318253,116,0,379742,1032064,0,42150.35
0,1.92475758,76.80686797,227.3887867,2.453051535,0,0,118.3813327,2.491598243,0,14780,215335,436867,284051,118,0,677638,1052189,0,38455.3
0,1.943808293,84.79455957,231.8722826,2.444494869,0,0,124.8775136,2.495044258,0,10475,228695,498928,272516,84,0,682865,695490,0,37651.4
0,1.915359633,107.8524928,233.6319093,2.453704428,0,0,117.7449912,2.495991826,0,11170,370878,546145,291056,59,0,601732,926140,0,38257.49
0,2.002660684,124.5040711,232.4315766,2.469885275,0,0,105.1678744,2.498842874,0,12652,453683,500252,323770,86,0,537677,822020,0,41385.45
0,1.956802466,101.747972,229.245981,2.478868847,0,0,104.6939075,2.498810442,0,12581,222392,450584,328785,83,0,602790,483081,0,40184.55
0,2.001691523,96.38566017,226.2059238,2.487267262,0,0,115.7037432,2.45933816,0,12640,231540,432063,334114,95,0,531227,302577,0,38445.05
0,1.959871586,97.25274712,224.5027162,2.484673265,0,0,115.447159,2.355862785,0,10951,207982,445925,288650,90,0,430320,0,0,39147.12
0,1.933435747,85.49108426,224.4623196,2.457931606,0,0,120.8580699,2.222366662,0,9423,194648,333995,253374,96,0,513443,0,0,37271.85
0,1.877100581,79.39925065,224.756645,2.428856804,0,0,119.5938141,2.059066424,0,7165,163428,304225,177345,83,0,582656,0,0,34338.95
0,1.886230477,76.53945972,225.5862009,2.463687765,0,0,134.7779894,1.862292544,0,9017,174211,363982,285541,106,0,723081,0,0,34302.9
0,1.929011692,77.42126473,224.3605152,2.494061785,0,0,120.997729,1.603706479,0,13203,169072,434634,290182,98,0,552923,0,0,34621.4
0,1.943655871,81.41233136,225.4520781,2.484826496,0,0,122.7850314,0,0,13104,170276,433258,294689,95,0,560618,0,0,34403.5
0,1.892019367,82.97094586,225.810931,2.471272101,0,0,105.8862708,0,0,12581,170826,415513,328791,127,0,503130,0,0,31813.55
0,1.912946042,87.87984878,225.7442242,2.462985161,0,0,125.0842243,0,0,12452,157795,453951,542811,96,0,583226,0,0,34727.5
0,1.904854466,82.18955711,211.9946798,2.399199905,0,0,143.8864333,0,0,10450,147338,269367,171702,115,0,581080,0,0,20530.2
0,1.915438752,71.76857928,166.2884948,2.357244444,0,0,34.5158273,0,0,8636,112099,0,217485,102,0,0,0,1,21109.2
0,2.001756712,64.4832167,119.4996788,2.354942235,0,0,0,0,0,9251,100511,0,66175,94,0,0,0,0,20649.75
0,2.075735473,123.3976012,77.97669656,2.412209212,0,0,0,0,0,13251,372892,0,200440,237,0,0,0,0,22466.75
0,2.05952125,116.1178298,45.88870052,2.423526824,0,0,0,0,0,13238,295063,0,105437,180,0,0,0,0,20889.3
0,2.00671441,121.0996097,24.23006603,2.437531954,0,0,0,0,0,11062,255587,0,162878,156,0,0,0,0,20100.75
0,1.960714845,119.1187112,11.43440636,2.476559996,0,0,0,0,0,11899,207139,0,216095,166,0,0,0,0,21838.15
0,1.962496508,107.2387064,4.808216589,2.523511627,0,0,14.29520995,0,0,11376,215072,0,473628,141,0,31629,0,0,20360.3
0,1.928484527,102.0200229,1.797478319,2.527524366,0,0,3.590794391,0,0,10299,237265,0,375494,126,0,0,0,0,19911.05
